1,0
440,153
1,448
493,103
1,100
880,99
1,100
880,97
1,101
880,103
1,100
783,99
1,0
587,148
1,148
659,153
1,0
523,149
1,148
440,150
1,0
391,153
1,451
659,155
1,0
523,149
1,148
391,148
1,303
415,148
1,148
440,153
1,0
698,149
1,148
698,150
1,0
440,153
1,448
493,153
1,0
698,149
1,149
698,152
1,0
698,104
1,100
659,99
1,100
587,96
1,100
523,153
1,446
130,153
1,446
523,153
1,297
391,148
1,303
329,148
1,302
440,149
1,148
493,150
1,154
466,149
1,0
440,148
1,150
391,103
1,100
659,99
1,100
783,96
1,100
880,153
1,149
698,148
1,0
783,148
1,154
659,149
1,148
523,148
1,0
587,153
1,0
493,149
1,302
523,155
1,297
391,148
1,303
329,148
1,302
440,149
1,148
493,150
1,154
466,149
1,0
440,148
1,150
391,103
1,100
659,99
1,100
783,96
1,100
880,153
1,149
698,148
1,0
783,148
1,154
659,149
1,148
523,148
1,0
587,153
1,0
493,149
1,602
783,149
1,0
739,152
1,0
698,155
1,0
622,149
1,148
659,148
1,154
415,149
1,0
440,148
1,0
523,148
1,154
440,149
1,0
523,148
1,0
587,150
1,303
783,148
1,0
739,148
1,0
698,153
1,0
622,149
1,148
659,148
1,154
783,149
1,148
783,148
1,0
783,153
1,752
783,149
1,0
739,152
1,0
698,155
1,0
622,149
1,148
659,148
1,154
415,149
1,0
440,148
1,0
523,148
1,154
440,149
1,0
523,148
1,0
587,150
1,303
622,148
1,302
587,149
1,296
523,153
1,1356
783,149
1,0
739,152
1,0
698,155
1,0
622,149
1,148
659,148
1,154
415,149
1,0
440,148
1,0
523,148
1,154
440,149
1,0
523,148
1,0
587,150
1,303
783,148
1,0
739,148
1,0
698,153
1,0
622,149
1,148
659,148
1,154
783,149
1,148
783,148
1,0
783,153
1,752
783,149
1,0
739,152
1,0
698,155
1,0
622,149
1,148
659,148
1,154
415,149
1,0
440,148
1,0
523,148
1,154
440,149
1,0
523,148
1,0
587,150
1,303
622,148
1,302
587,149
1,296
523,153
1,1053
523,153
1,0
523,149
1,148
523,148
1,154
523,149
1,0
587,148
1,148
659,153
1,0
523,149
1,148
440,148
1,0
391,153
1,446
523,153
1,0
523,149
1,148
523,148
1,154
523,149
1,0
587,148
1,0
659,148
1,1200
523,153
1,0
523,149
1,148
523,148
1,154
523,149
1,0
587,148
1,148
659,153
1,0
523,149
1,148
440,148
1,0
391,153
1,451
659,155
1,0
659,149
1,148
659,148
1,154
523,149
1,0
659,148
1,148
493,153
1,446
195,153
1,451
523,155
1,297
391,148
1,303
329,148
1,302
440,149
1,148
493,150
1,154
466,149
1,0
440,148
1,150
391,103
1,100
659,99
1,100
783,96
1,100
880,153
1,149
698,148
1,0
783,148
1,154
659,149
1,148
523,148
1,0
587,153
1,0
493,149
1,302
523,155
1,297
391,148
1,303
329,148
1,302
440,149
1,148
493,150
1,154
466,149
1,0
440,148
1,150
391,103
1,100
659,99
1,100
783,96
1,100
880,153
1,149
698,148
1,0
783,148
1,154
659,149
1,148
523,148
1,0
587,153
1,0
493,149
1,302
659,155
1,0
523,149
1,148
391,148
1,303
415,148
1,148
440,153
1,0
698,149
1,148
698,150
1,0
440,153
1,448
493,103
1,100
880,99
1,100
880,97
1,101
880,103
1,100
783,99
1,0
587,148
1,148
659,153
1,0
523,149
1,148
440,150
1,0
391,153
1,451
659,155
1,0
523,149
1,148
391,148
1,303
415,148
1,148
440,153
1,0
698,149
1,148
698,150
1,0
440,153
1,448
493,153
1,0
698,149
1,149
698,152
1,0
698,104
1,100
659,99
1,100
587,96
1,100
523,153
1,451
130,155
1,446
659,153
1,0
523,149
1,148
391,148
1,303
415,148
1,148
440,153
1,0
698,149
1,148
698,150
1,0
440,153
1,448
493,103
1,100
880,99
1,100
880,97
1,101
880,103
1,100
783,99
1,0
587,148
1,148
659,153
1,0
523,149
1,148
440,150
1,0
391,153
1,451
659,155
1,0
523,149
1,148
391,148
1,303
415,148
1,148
440,153
1,0
698,149
1,148
698,150
1,0
440,153
1,448
493,153
1,0
698,149
1,149
698,152
1,0
698,104
1,100
659,99
1,100
587,96
1,100
523,153
1,451
130,155
1,446
523,153
1,0
523,149
1,148
523,148
1,154
523,149
1,0
587,148
1,148
659,153
1,0
523,149
1,148
440,148
1,0
391,153
1,446
523,153
1,0
523,149
1,148
523,148
1,154
523,149
1,0
587,148
1,0
659,148
1,1200
523,153
1,0
523,149
1,148
523,148
1,154
523,149
1,0
587,148
1,148
659,153
1,0
523,149
1,148
440,148
1,0
391,153
1,451
659,155
1,0
659,149
1,148
659,148
1,154
523,149
1,0
659,148
1,148
493,153
1,446
195,153
1,451
659,155
1,0
523,149
1,148
391,148
1,303
415,148
1,148
440,153
1,0
698,149
1,148
698,150
1,0
440,153
1,448
493,103
1,100
880,99
1,100
880,97
1,101
880,103
1,100
783,99
1,0
587,148
1,148
659,153
1,0
523,149
1,148
440,150
1,0
391,153
1,451
659,155
1,0
523,149
1,148
391,148
1,303
415,148
1,148
440,153
1,0
698,149
1,148
698,150
1,0
440,153
1,448
493,153
1,0
698,149
1,149
698,152
1,0
698,104
1,100
659,99
1,100
587,96
1,100
523,153
1,446
130,153
